ID,City,State,State Abbr,Population,School Districts,Elementary Schools,Elementary Enrollment,Median HH Income,College %,STEM %,COL Index,Metro Income,National Brand Count (Weighted),Local Provider Estimate,Demand Adjusted Market,CSI Score,Saturation Category,Brand Detail,Confidence,Last Updated
"525","Las Vegas city","Nevada","NV","678922","1","195","85800","66356","","12.4","96.48","62726","32","257","87589.92","0.003304033","moderate","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(10)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"433","Boston city","Massachusetts","MA","673458","6","6","2640","89212","","10.9","112.19","85441","32","8","3623.3796","0.011017338","saturated","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(10)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
"458","Detroit city","Michigan","MI","645705","53","111","48840","37761","","18.2","96.27","58012","31","147","28373.035","0.006256645","saturated","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(10)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"416","Louisville/Jefferson County metro government (balance)","Kentucky","KY","640796","2","85","37400","63114","","17.7","89.4","52629","31","112","36314.824","0.0039432934","competitive","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(10)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"619","Portland city","Oregon","OR","635749","6","105","46200","85876","","15.7","104.85","63669","31","139","61038.02","0.002778596","moderate","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(4)|Goddard School(2)|KinderCare(10)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"655","Memphis city","Tennessee","TN","610919","1","116","51040","48090","","15.8","91.81","59107","29","153","37761.746","0.00482287","competitive","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(9)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"428","Baltimore city","Maryland","MD","568271","2","181","79640","58349","","9.8","102.42","70781","29","239","71490.99","0.003747605","competitive","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(9)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"804","Milwaukee city","Wisconsin","WI","563531","15","119","52360","49733","","20.3","95.12","61831","28","157","40061.844","0.0046198573","competitive","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"550","Albuquerque city","New Mexico","NM","560326","30","102","44880","61503","","12","93.38","53116","28","135","42465.457","0.0038299365","competitive","Code Ninjas(2)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Challenge Island(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
"13","Tucson city","Arizona","AZ","554013","64","140","61600","52049","","13.1","93.76","59060","24","185","49326.438","0.004233024","competitive","Code Ninjas(2)|Bricks 4 Kidz(1)|Camp Invention(1)|Mad Science(1)|Primrose Schools(3)|Goddard School(2)|KinderCare(8)|i9 Sports(1)","medium","2026-05-21T08:42:03.000Z"
